Use cases clarified with examples,,☐,BA,,,
Edge cases identified,,☐,PM + BA,,,

DESIGN (BA),,Status,Owner,Due Date,Link/Notes
Mockups finalized for mobile stories,,☐,BA,,,
UI/UX flows documented,,☐,BA,,,
Design decisions documented,,☐,BA,,,
Interaction patterns defined,,☐,BA,,,
Responsive design noted,,☐,BA,,,

TECHNICAL (Tech Lead),,Status,Owner,Due Date,Link/Notes
Technical feasibility assessed,,☐,Tech Lead,,,
Architecture approach defined,,☐,Tech Lead,,,
Dependencies mapped,,☐,Tech Lead,,,
Technical risks identified,,☐,Tech Lead,,,
Spike results documented,,☐,Tech Lead,,,

ACCEPTANCE CRITERIA (PM),,Status,Owner,Due Date,Link/Notes
Draft AC written for all stories,,☐,PM,,,
Given-When-Then format used,,☐,PM,,,
Testable criteria defined,,☐,PM,,,
Non-functional requirements included,,☐,PM,,,
Definition of Done clear,,☐,PM,,,

TEAM PREP (PM),,Status,Owner,Due Date,Link/Notes
Agenda sent (48h before),,☐,PM,,,
Candidate stories list shared,,☐,PM,,,
Pre-reading materials sent,,☐,PM,,,
Team questions collected,,☐,PM,,,
Roles assigned,,☐,PM,,,

ESTIMATION PREP (Tech Lead),,Status,Owner,Due Date,Link/Notes
Complexity factors identified,,☐,Tech Lead,,,
Reference stories selected,,☐,Tech Lead,,,
Estimation poker ready,,☐,Tech Lead,,,
Team calibrated on scale,,☐,Tech Lead,,,

LOGISTICS (PM),,Status,Owner,Due Date,Link/Notes
Calendar invite confirmed,,☐,PM,,,
Video link working,,☐,PM,,,
Screen sharing tested,,☐,PM,,,
Jira board prepared,,☐,PM,,,
Timer ready,,☐,PM,,,

CHECKLIST COMPLETION:,,=COUNTIF(C6:C36,"☑")/31*100&"%",,Risk Level:,=IF(C43<70,"🔴",IF(C43<90,"🟡","🟢"))

---END CHECKLIST---,,,,,,

Sheet Name,QUICK REFERENCE - Session Agenda
,60-MINUTE SESSION AGENDA TEMPLATE,,,
,Session #: ___  |  Sprint: ___  |  Date: ___________,,,
,Epic Focus: ___________,,,

TIME,ACTIVITY,DURATION,DETAILS,
00:00-05:00,RECAP & ADJUST,5 min,"Previous session results, adjustments needed",
05:00-10:00,SILENT READING TIME,5 min,"Team reviews stories individually - NO DISCUSSION",
10:00-50:00,STORY REFINEMENT,40 min,"7 minutes per story, strict time-boxing",
50:00-58:00,WRAP-UP,8 min,"Count refined stories, update tracker, plan next",
58:00-60:00,BUFFER,2 min,Overflow or early finish,

STORY REFINEMENT CHECKLIST (Use for each story):,,,,
,Business value understood?,☐,,
,Business rules clarified?,☐,,
,Acceptance criteria agreed?,☐,,
,Technical approach confirmed?,☐,,
,Dependencies identified?,☐,,
,Edge cases discussed?,☐,,
,Estimation consensus?,☐,,
,Ready to move to Ready status?,☐,,

PARKING LOT:,,,,
Question/Topic,Owner,Follow-up When,Priority,Status
,,,High,☐
,,,Medium,☐
,,,Low,☐

MEETING ROLES:,,,,
Facilitator:,PM,,,
Timekeeper:,BA,,,
Note-Taker:,Rotating,,,
Tech Validator:,Tech Lead,,,

SUCCESS CRITERIA:,,,,
Target:,"6-7 stories to ""Ready""",,✓,
Minimum:,5 stories acceptable,,✓,
Critical:,No unresolved blockers,,✓,
Team:,Everyone aligned,,✓,

---END AGENDA---,,,,

Sheet Name,VELOCITY QUICK WINS
Strategy,Expected Impact,Effort,When to Implement,Status
1. Send materials 48h advance,+25% velocity,Low,Immediately,☐
2. Silent reading time (5min),+15% velocity,Low,Session 3+,☐
3. Strict 7min time-boxing,+20% velocity,Low,Session 3+,☐
4. Parking lot for deep dives,+25% velocity,Low,Session 3+,☐
5. Pre-draft acceptance criteria,+20% velocity,Medium,Session 4+,☐

TOTAL POTENTIAL IMPROVEMENT:,+105% velocity (could reach 7+ stories/session),,,

IMPLEMENTATION CHECKLIST:,,,,
Week 1 (Sprint 1):,"Implement strategies 1-4 for Session 3",,☐,
Week 2 (Sprint 2):,Add strategy 5 (pre-draft AC),,☐,
Week 3 (Sprint 2):,Review effectiveness after 3 sessions,,☐,
Week 4 (Sprint 3):,Optimize based on results,,☐,

---END QUICK WINS---,,,,

Sheet Name,EPIC PRIORITY MATRIX
Epic ID,Epic Name,Total,Open,Ready,Priority,Business Value,Tech Complexity,Sprint Target
SSF-96,Login & Session,12,6,6,CRITICAL,Very High,Medium,1
SSF-86,Tracking,6,1,5,HIGH,High,Low,1
SSF-84,Technical Setup,8,3,5,HIGH,High,Low,1
SSF-93,Gear Management,10,9,1,MEDIUM,High,Medium,2-3
SSF-94,Home & Widgets,5,4,1,MEDIUM,Medium,Low,2
SSF-123,Fishing Operations,14,13,1,HIGH,Very High,High,2-3
SSF-122,Departure & Catches,10,10,0,HIGH,Very High,High,3
SSF-95,Map & Location,8,6,2,MEDIUM,High,Very High,3-4
SSF-162,Menu & Navigation,3,2,1,MEDIUM,Medium,Low,3
SSF-166,Internationalization,4,3,1,LOW,Medium,Medium,4-5
SSF-165,Backend Infrastructure,3,3,0,MEDIUM,High,High,4
SSF-97,CI/CD & Deployment,5,5,0,MEDIUM,High,Medium,4-5
SSF-132,FMC Integration,1,1,0,MEDIUM,Medium,Medium,4

REFINEMENT SEQUENCE:,,,,,,,,
Phase 1 (Sprint 1):,"SSF-96, SSF-86, SSF-84 (Foundation)",,,,,,
Phase 2 (Sprint 2-3):,"SSF-93, SSF-123, SSF-122 (Core Features)",,,,,,
Phase 3 (Sprint 3-4):,"SSF-95, SSF-94, SSF-162 (Enhanced)",,,,,,
Phase 4 (Sprint 4-5):,"SSF-165, SSF-97, SSF-166, SSF-132 (Polish)",,,,,,

---END EPIC MATRIX---,,,,,,,,
